ImageNumber,ObjectNumber,Mean_Spots_Primary_Objects_Intensity_IntegratedIntensity_Spots_eroded,Mean_Spots_Primary_Objects_Number_Object_Number,Number_Object_Number,TrackObjects_Label_50,TrackObjects_Lifetime_50,TrackObjects_Linearity_50,TrackObjects_ParentImageNumber_50,TrackObjects_ParentObjectNumber_50
5,66,0.08214948745444417,737.0,66,46,3,0.9175739219026151,4.0,57
5,67,0.07509727776050568,761.0,67,101,1,nan,0.0,0
5,68,0.6814221409149468,764.0,68,72,2,1.0,4.0,58
5,69,0.37376974360086024,766.0,69,73,2,1.0,4.0,60
5,70,nan,nan,70,30,5,0.7500039305501064,4.0,61
5,71,nan,nan,71,102,1,nan,0.0,0
5,72,nan,nan,72,47,3,0.9713102723130494,4.0,62
5,73,nan,nan,73,48,3,0.8317158046504026,4.0,63
5,74,nan,nan,74,49,3,0.9880492629745722,4.0,64
5,75,0.10304587153303954,786.4444444444445,75,50,3,0.9923803932040559,4.0,66
5,76,0.06375982379540801,793.0,76,74,2,1.0,4.0,65
5,77,0.337453274987638,810.75,77,103,1,nan,0.0,0
5,78,0.5972228609025478,819.0,78,75,2,1.0,4.0,68
5,79,nan,nan,79,76,2,1.0,4.0,69
5,80,0.7257343460805714,836.0,80,104,1,nan,0.0,0
5,81,0.4161593072515513,884.0,81,77,2,1.0,4.0,70
5,82,nan,nan,82,52,3,0.9599067583367954,4.0,71
5,83,0.3778286436572671,922.0,83,51,3,0.9988650153420365,4.0,72
5,84,1.0872063315163056,991.5333333333333,84,32,5,0.9605762759957237,4.0,74
5,85,0.5019668905530125,1002.0,85,53,3,0.9928966399483717,4.0,73
5,86,0.5012115169284416,1008.1034482758621,86,32,5,0.18973177989427928,4.0,74
5,87,0.4599145530257374,1028.8,87,53,3,0.4278294482645356,4.0,73
5,88,nan,nan,88,105,1,nan,0.0,0
5,89,0.7251087218755856,1111.5,89,78,2,1.0,4.0,75
5,90,0.0852521558990702,1148.5,90,79,2,1.0,4.0,76
5,91,nan,nan,91,80,2,1.0,4.0,77
5,92,nan,nan,92,106,1,nan,0.0,0
5,93,nan,nan,93,54,3,0.5443991042370374,4.0,78
5,94,0.1290455482667312,1166.0,94,54,3,0.9982816553607959,4.0,78
5,95,0.5003992820469042,1173.0,95,55,3,0.9993174501697821,4.0,79
5,96,nan,nan,96,107,1,nan,0.0,0
5,97,0.399046823149547,1210.7,97,81,2,1.0,4.0,80
5,98,0.021606775233522058,1220.5,98,56,3,0.40608172323009445,4.0,81
5,99,nan,nan,99,84,2,1.0,4.0,84
5,100,nan,nan,100,82,2,1.0,4.0,82
5,101,nan,nan,101,108,1,nan,0.0,0
5,102,nan,nan,102,83,2,1.0,4.0,83
5,103,nan,nan,103,84,2,1.0,4.0,84
5,104,0.2513275371165946,1294.5,104,85,2,1.0,4.0,85
5,105,0.04808117860617737,1323.3333333333333,105,109,1,nan,0.0,0
5,106,0.28990615776274353,1333.5,106,86,2,1.0,4.0,87
5,107,0.058335241163149476,1383.0,107,36,4,0.1965213484544898,4.0,88
5,108,0.07453015012045701,1414.0,108,36,4,0.47946280604506164,4.0,88
5,109,0.18076735078904996,1419.5294117647059,109,110,1,nan,0.0,0
5,110,0.6356409370300493,1432.357142857143,110,57,3,0.9519852764692535,4.0,89
5,111,0.3200362547597086,1493.8181818181818,111,36,4,0.9357006220994504,4.0,88
5,112,0.21122555520075062,1537.3333333333333,112,58,3,0.9984315028865118,4.0,90
5,113,nan,nan,113,59,3,0.8735643959132449,4.0,91
5,114,1.3692937711408983,1580.3333333333333,114,111,1,nan,0.0,0
5,115,0.49643702316097915,1621.0,115,112,1,nan,0.0,0
5,116,0.047867552532504,1652.6666666666667,116,87,2,1.0,4.0,92
5,117,0.4383107835116486,1701.909090909091,117,88,2,1.0,4.0,93
6,1,0.04823376890271902,9.0,1,89,2,1.0,5.0,1
6,2,nan,nan,2,90,2,1.0,5.0,2
6,3,0.7968344209746093,70.71739130434783,3,1,6,0.6568578462908315,5.0,3
6,4,0.03581292415037751,73.0,4,91,2,1.0,5.0,4
6,5,0.6018544850715747,99.13333333333334,5,1,6,0.9757069700388946,5.0,5
6,6,0.11700618133181706,138.25,6,60,3,0.995758747403877,5.0,6
6,7,nan,nan,7,3,6,0.8400186296776818,5.0,8
6,8,nan,nan,8,61,3,0.9452234090018907,5.0,9
6,9,nan,nan,9,61,3,0.7069144136847675,5.0,9
6,10,0.035828184336423874,203.5,10,37,4,0.9876724775272614,5.0,12
6,11,nan,nan,11,92,2,1.0,5.0,10
6,12,nan,nan,12,93,2,1.0,5.0,11
6,13,nan,nan,13,94,2,1.0,5.0,13
6,14,nan,nan,14,6,6,0.9423739828887637,5.0,15
6,15,0.05183489783667028,215.33333333333334,15,33,5,0.7378443915899993,5.0,16
6,16,0.06808575638569891,212.0,16,33,5,0.5039347835647271,5.0,16
6,17,nan,nan,17,62,3,0.6393124820226866,5.0,17
6,18,0.12010376170898478,234.0,18,113,1,nan,0.0,0
6,19,0.1393939413511279,229.54545454545453,19,39,4,0.7161779163934453,5.0,18
6,20,0.13444419163279236,247.2,20,39,4,0.9626338651806134,5.0,18
6,21,0.42812351114978947,289.77777777777777,21,66,3,0.13637246628509367,5.0,22
6,22,0.02084382437169552,302.0,22,65,3,0.7876588042162709,5.0,25
6,23,0.08480964449699968,304.5,23,8,6,0.3601573281999748,5.0,24
6,24,0.10440833317115902,321.0,24,10,6,0.9379091687785976,5.0,29
6,25,nan,nan,25,13,6,0.6366252698805843,5.0,27
6,26,nan,nan,26,40,4,0.12624734810776697,5.0,31
6,27,0.48141366872005165,371.72222222222223,27,14,6,0.8675873908021219,5.0,36
6,28,0.05911650327034294,369.2,28,13,6,0.11086795776313066,5.0,33
6,29,nan,nan,29,114,1,nan,0.0,0
6,30,0.5396238701456847,388.25,30,15,6,0.4262921906645501,5.0,38
6,31,0.13874265854246914,405.625,31,16,6,0.5714719395805704,5.0,37
6,32,nan,nan,32,14,6,0.34606244006814835,5.0,36
6,33,nan,nan,33,40,4,0.998237811346609,5.0,31
6,34,nan,nan,34,95,2,1.0,5.0,39
6,35,0.31082500745348324,438.125,35,16,6,0.5689892138516733,5.0,42
6,36,nan,nan,36,14,6,0.5700617336058269,5.0,41
6,37,nan,nan,37,95,2,1.0,5.0,39
6,38,0.03706416394561529,426.0,38,17,6,0.6505195636370569,5.0,40
6,39,nan,nan,39,42,4,0.9750562637056961,5.0,46
6,40,nan,nan,40,19,6,0.9284265693400616,5.0,45
6,41,nan,nan,41,22,6,0.40588805380635795,5.0,48
6,42,nan,nan,42,97,2,1.0,5.0,49
6,43,nan,nan,43,24,6,0.6563440719278021,5.0,51
6,44,nan,nan,44,98,2,1.0,5.0,52
6,45,0.37096208264119923,490.0,45,99,2,1.0,5.0,53
6,46,0.39407950500026345,481.0,46,26,6,0.45959495967986946,5.0,55
6,47,0.1416255225693541,495.0,47,69,3,0.9052748942699094,5.0,56
6,48,0.19473980051803996,516.7272727272727,48,69,3,0.7936396957892112,5.0,56
6,49,0.2483558428939432,497.0,49,43,4,0.9994212020775269,5.0,57
6,50,nan,nan,50,45,4,0.6298741438151628,5.0,58
6,51,nan,nan,51,45,4,0.5578097575927455,5.0,59
6,52,nan,nan,52,70,3,0.897919385896091,5.0,60
6,53,0.17692207727197776,671.7647058823529,53,71,3,0.9575816222888626,5.0,64
6,54,0.23867366085355374,649.4347826086956,54,100,2,1.0,5.0,63
6,55,0.05749599542468786,675.0,55,115,1,nan,0.0,0
6,56,nan,nan,56,29,6,0.7639690506230389,5.0,65
6,57,nan,nan,57,101,2,1.0,5.0,67
6,58,0.09974822669755667,722.75,58,72,3,0.9911098770885363,5.0,68
6,59,0.10038910550065339,708.0,59,46,4,0.9273913130416974,5.0,66
6,60,0.06541542755439878,712.0,60,73,3,0.9694464757930378,5.0,69
6,61,nan,nan,61,47,4,0.5175637092841395,5.0,72
6,62,nan,nan,62,49,4,0.9905299602366273,5.0,74
6,63,0.17091161141601893,750.3846153846154,63,50,4,0.3204036353773176,5.0,75
6,64,nan,nan,64,74,3,0.9620679158158746,5.0,76
6,65,0.14167239097878337,763.5,65,103,2,1.0,5.0,77
6,66,0.1259784873109311,776.0,66,75,3,0.995895402585283,5.0,78
6,67,0.03881895262748003,790.0,67,104,2,1.0,5.0,80
6,68,0.8784924186766148,848.5,68,77,3,0.9864725967017428,5.0,81
6,69,nan,nan,69,116,1,nan,0.0,0
6,70,nan,nan,70,51,4,0.9993938405995044,5.0,83
6,71,0.8174494352236751,943.9354838709677,71,32,6,0.5570951231314212,5.0,86
6,72,0.47994744433607495,973.9333333333333,72,53,4,0.3272104934118671,5.0,87
6,73,nan,nan,73,105,2,1.0,5.0,88
6,74,0.11615421894627313,1061.3333333333333,74,78,3,0.8752262753611322,5.0,89
6,75,0.13238727417774498,1069.0,75,78,3,0.728950038517773,5.0,89
6,76,nan,nan,76,80,3,0.8945403758575269,5.0,91
